GEOID,coniferPct,ripariaPct,hardwooPct,coniHarPct,forestPct,devPct,sumCarPeKm,pct_nonWhi,categ
370479312013,43.5,6.468,0,7.557,57.525,13.22,17.634,51.371,Majority white
450619204013,35.324,6.94,0.587,11.587,54.438,17.079,23.467,51.316,Majority white
450279606001,32.764,32.102,1.141,9.284,75.291,7.725,28.387,51.225,Majority white
450719505021,30.821,0.698,5.942,16.207,53.668,26.073,26.306,51.217,Majority white
132930104021,16.751,0.897,22.679,25.954,66.281,22.011,33.09,51.216,Majority white
450150205062,7.901,40.593,3.723,2.591,54.808,35.123,35.868,51.166,Majority white
450130011012,4.175,36.491,10.626,0.356,51.648,20.426,16.113,51.104,Majority white
370610907043,21.776,18.885,2.849,14.247,57.757,8.86,27.173,51.097,Majority white
450790120001,35.691,33.887,1.108,8.249,78.935,11.397,34.741,51.003,Majority white
371319202022,28.847,14.523,1.697,18.187,63.254,10.51,34.058,50.9,Majority white
132699502001,10.379,38.951,0.285,9.774,59.389,7.922,27.563,50.867,Majority white
133199603003,28.615,7.998,0.726,34.21,71.549,9.167,32.511,50.803,Majority white
450699601003,45.474,10.567,0.221,8.316,64.578,11.194,26.629,50.685,Majority white
131930002002,38.392,9.987,0.801,26.971,76.151,9.714,30.905,50.654,Majority white
130510107013,2.443,47.644,2.078,4.969,57.134,28.903,35.03,50.598,Majority white
371910011031,6.162,30.539,0.802,14.826,52.329,9.073,27.111,50.563,Majority white
370939702011,46.274,15.759,0.639,6.162,68.834,17.702,32.361,50.493,Majority white
370919502011,18.585,17.389,15.08,8.019,59.073,6.354,38.089,50.471,Majority white
450299706022,30.288,32.25,1.435,9.077,73.05,16.96,35.491,50.425,Majority white
450539503024,5.054,66.388,1.497,3.532,76.471,5.03,29.53,50.407,Majority white
450190023001,2.373,36.854,14.11,3.511,56.848,7.909,20.077,50.388,Majority white
450510301043,32.384,29.346,0.072,5.028,66.83,14.835,21.629,50.362,Majority white
133079601001,42.929,11.04,0.374,17.903,72.246,6.247,30.075,50.288,Majority white
132639601001,29.009,2.327,24.279,26.184,81.799,5.849,37.544,50.135,Majority white
450159801001,26.063,20.168,1.774,22.984,70.989,14.456,34.513,,Majority white
131919800001,57.943,21.912,0,8.627,88.482,3.266,48.29,,Majority white
131839800001,52.872,28.678,0.471,7.273,89.294,5.572,39.872,,Majority white
130299800001,38.109,39.41,0.397,12.859,90.775,4.212,50.065,,Majority white
450039801001,37.303,17.802,1.502,34.571,91.178,4.759,54.494,,Majority white
371839802001,18.336,1.746,41.336,34.976,96.394,1.907,87.164,,Majority white
370899801001,1.389,0.21,95.952,0.475,98.026,1.192,89.042,,Majority white
