GEOID,coniferPct,ripariaPct,hardwooPct,coniHarPct,devPct,sumCarPeKm,pct_nonWhi,categ
132150101084,0,0.741,0.106,0.635,97.775,26.102,63.47,Majority white
132150034001,0,0,0,0,100.368,3.464,57.706,Majority white
132150107043,0,0,0,0,99.625,8.717,90.21,Majority Minority
130859701031,16.34,0.823,63.787,5.201,7.373,63.908,2.723,Majority white
130859702042,5.383,0.193,14.68,3.589,64.815,23.94,13.109,Majority white
130859702041,2.54,0.544,36.452,5.091,39.125,41.659,6.472,Majority white
130859702061,4.343,4.746,39.21,4.038,36.628,48.654,3.937,Majority white
130859701021,10.643,2.751,55.182,12.429,16.123,53.762,4.006,Majority white
130859702062,8.771,0.915,64.491,5.689,11.167,60.925,5.655,Majority white
130859702052,13.68,1.673,49.927,10.925,17.202,53.64,6.517,Majority white
130859702032,2.774,0.31,31.649,6.378,39.077,37.13,3.675,Majority white
130859702063,6.168,1.307,48.448,3.339,27.169,49.305,2.101,Majority white
130859702031,4.648,0.547,52.806,4.128,29.095,50.402,2.204,Majority white
130859701032,17.697,1.002,42.349,15.977,13.853,52.909,1.403,Majority white
130859701022,15.57,1.332,43.834,11.029,23.111,43.942,4.593,Majority white
130859701012,9.193,0.542,75.905,1.693,12.524,84.644,2.17,Majority white
130859702051,16.472,0.872,49.435,14.72,10.669,54.96,5.995,Majority white
130859701011,1.006,0,1.61,0.086,95.846,87.744,1.19,Majority white
132859601012,39.892,6.274,12.956,14.943,13.06,33.921,23.956,Majority white
132859604022,5.591,0.513,3.081,3.366,85.411,22.27,68.421,Majority white
132859605042,30.167,8.532,9.957,5.756,34.733,26.257,34.857,Majority white
132859604013,8.87,1.673,12.498,22.487,37.631,39.968,32.653,Majority white
132859609041,24.443,8.857,11.393,8.741,30.978,31.827,22.874,Majority white
132859604011,0.068,0,0.951,4.55,90.327,15.032,37.317,Majority white
132859604021,6.065,2.179,15.951,12.807,46.044,37.093,22.785,Majority white
132859609031,3.536,0.045,15.604,4.703,65.222,27.271,20.311,Majority white
132859605041,35.817,3.348,18.706,14.005,16.317,30.096,43.065,Majority white
132859605032,7.138,1.89,11.059,7.561,69.826,23.605,67.902,Majority white
132859605031,30.034,9.938,10.729,12.404,25.982,31.603,42.575,Majority white
132859602012,15.112,1.447,16.152,17.948,22.581,34.568,16.196,Majority white
132859601021,39.6,7.119,11.491,13.391,19.167,32.534,20.287,Majority white
